Grapic Type,Latitude,Longitude,Language Link,ISO 639-3 code,Language Name,Contains Apostrophe,leaflet_id,Radius,Color,Ethnologue Status,Hex Fill Color,Weight,Opacity,FillOpacity
circle,7.115435455078110,5.952827212890610,"<a href=""http://www.ethnologue.com/language/aaa"" target=""_blank"">Ghotuo</a>",aaa,Ghotuo,,lang1,3,e3d000,Robust,fff9b5,1,1,1
circle,9.016444541015630,8.611982748046900,"<a href=""http://www.ethnologue.com/language/aab"" target=""_blank"">Alumu-Tesu</a>",aab,Alumu-Tesu,,lang2,3,e3d000,Robust,fff9b5,1,1,1
circle,-4.048731662109390,141.996655156250000,"<a href=""http://www.ethnologue.com/language/aad"" target=""_blank"">Amal</a>",aad,Amal,,lang4,3,e3d000,Robust,fff9b5,1,1,1
circle,-3.604025453125020,142.535128146484000,"<a href=""http://www.ethnologue.com/language/aag"" target=""_blank"">Ambrak</a>",aag,Ambrak,,lang7,3,e3d000,Robust,fff9b5,1,1,1
circle,-9.176816097656230,149.232563937500000,"<a href=""http://www.ethnologue.com/language/aai"" target=""_blank"">Arifama-Miniafia</a>",aai,Arifama-Miniafia,,lang9,3,e3d000,Robust,fff9b5,1,1,1
circle,-7.204678148437490,145.771312927734000,"<a href=""http://www.ethnologue.com/language/aak"" target=""_blank"">Ankave</a>",aak,Ankave,,lang10,3,e3d000,Robust,fff9b5,1,1,1
circle,12.209392312500000,14.675906244140600,"<a href=""http://www.ethnologue.com/language/aal"" target=""_blank"">Afade</a>",aal,Afade,,lang11,3,e3d000,Robust,fff9b5,1,1,1
circle,28.265722138671900,5.364874972656250,"<a href=""http://www.ethnologue.com/language/aao"" target=""_blank"">Algerian Saharan Spoken Arabic</a>",aao,Algerian Saharan Spoken Arabic,,lang13,3,e3d000,Robust,fff9b5,1,1,1
circle,-3.741790345703120,-53.130711478515700,"<a href=""http://www.ethnologue.com/language/aap"" target=""_blank"">Pará Arára</a>",aap,Pará Arára,,lang14,3,e3d000,Robust,fff9b5,1,1,1
circle,11.996329375000000,41.225020992187500,"<a href=""http://www.ethnologue.com/language/aar"" target=""_blank"">Afar</a>",aar,Afar,,lang15,3,e3d000,Robust,fff9b5,1,1,1
circle,-4.043460714843770,141.182783187500000,"<a href=""http://www.ethnologue.com/language/aau"" target=""_blank"">Abau</a>",aau,Abau,,lang18,3,e3d000,Robust,fff9b5,1,1,1
circle,-5.906383492187500,148.878868755859000,"<a href=""http://www.ethnologue.com/language/aaw"" target=""_blank"">Solong</a>",aaw,Solong,,lang19,3,e3d000,Robust,fff9b5,1,1,1
circle,-6.003653244140650,140.515205312500000,"<a href=""http://www.ethnologue.com/language/aax"" target=""_blank"">Mandobo Atas</a>",aax,Mandobo Atas,,lang20,3,e3d000,Robust,fff9b5,1,1,1
circle,-10.234091171875000,123.896823714844000,"<a href=""http://www.ethnologue.com/language/aaz"" target=""_blank"">Amarasi</a>",aaz,Amarasi,,lang21,3,e3d000,Robust,fff9b5,1,1,1
circle,5.918667830078110,-4.290896646484380,"<a href=""http://www.ethnologue.com/language/aba"" target=""_blank"">Abé</a>",aba,Abé,,lang22,3,e3d000,Robust,fff9b5,1,1,1
circle,4.378220951171900,9.649806683593740,"<a href=""http://www.ethnologue.com/language/abb"" target=""_blank"">Bankon</a>",abb,Bankon,,lang23,3,e3d000,Robust,fff9b5,1,1,1
circle,14.862610650390600,120.285022001953000,"<a href=""http://www.ethnologue.com/language/abc"" target=""_blank"">Ambala Ayta</a>",abc,Ambala Ayta,,lang24,3,e3d000,Robust,fff9b5,1,1,1
circle,14.157391095703100,122.834149972656000,"<a href=""http://www.ethnologue.com/language/abd"" target=""_blank"">Manide</a>",abd,Manide,,lang25,3,e3d000,Robust,fff9b5,1,1,1
circle,5.637315591796890,-4.580560650390620,"<a href=""http://www.ethnologue.com/language/abi"" target=""_blank"">Abidji</a>",abi,Abidji,,lang30,3,e3d000,Robust,fff9b5,1,1,1
circle,43.292252511718700,40.761833716796900,"<a href=""http://www.ethnologue.com/language/abk"" target=""_blank"">Abkhaz</a>",abk,Abkhaz,,lang31,3,e3d000,Robust,fff9b5,1,1,1
circle,-4.488848044921890,105.298770720703000,"<a href=""http://www.ethnologue.com/language/abl"" target=""_blank"">Lampung Nyo</a>",abl,Lampung Nyo,,lang32,3,e3d000,Robust,fff9b5,1,1,1
circle,6.246885619140640,8.656973978515620,"<a href=""http://www.ethnologue.com/language/abm"" target=""_blank"">Abanyom</a>",abm,Abanyom,,lang33,3,e3d000,Robust,fff9b5,1,1,1
circle,4.818437027343750,6.628815957031240,"<a href=""http://www.ethnologue.com/language/abn"" target=""_blank"">Abua</a>",abn,Abua,,lang34,3,e3d000,Robust,fff9b5,1,1,1
circle,6.988579691406240,10.807663546875000,"<a href=""http://www.ethnologue.com/language/abo"" target=""_blank"">Abon</a>",abo,Abon,,lang35,3,e3d000,Robust,fff9b5,1,1,1
circle,15.409973640625000,120.196388546875000,"<a href=""http://www.ethnologue.com/language/abp"" target=""_blank"">Abellen Ayta</a>",abp,Abellen Ayta,,lang36,3,e3d000,Robust,fff9b5,1,1,1
circle,44.221683775390600,41.889524724609400,"<a href=""http://www.ethnologue.com/language/abq"" target=""_blank"">Abaza</a>",abq,Abaza,,lang37,3,e3d000,Robust,fff9b5,1,1,1
circle,7.628556039062520,-2.119738999999980,"<a href=""http://www.ethnologue.com/language/abr"" target=""_blank"">Abron</a>",abr,Abron,,lang38,3,e3d000,Robust,fff9b5,1,1,1
circle,-3.401888750000010,128.550988250000000,"<a href=""http://www.ethnologue.com/language/abs"" target=""_blank"">Ambonese Malay</a>",abs,Ambonese Malay,,lang39,3,e3d000,Robust,fff9b5,1,1,1
circle,-3.789515917968740,143.089068574219000,"<a href=""http://www.ethnologue.com/language/abt"" target=""_blank"">Ambulas</a>",abt,Ambulas,,lang40,3,e3d000,Robust,fff9b5,1,1,1
circle,5.254712228515640,-3.463213349609360,"<a href=""http://www.ethnologue.com/language/abu"" target=""_blank"">Abure</a>",abu,Abure,,lang41,3,e3d000,Robust,fff9b5,1,1,1
circle,25.942041208984400,50.552096500000000,"<a href=""http://www.ethnologue.com/language/abv"" target=""_blank"">Baharna Spoken Arabic</a>",abv,Baharna Spoken Arabic,,lang42,3,e3d000,Robust,fff9b5,1,1,1
circle,-4.882661371093770,145.235078500000000,"<a href=""http://www.ethnologue.com/language/abw"" target=""_blank"">Pal</a>",abw,Pal,,lang43,3,e3d000,Robust,fff9b5,1,1,1
circle,12.428564783203100,124.164342189453000,"<a href=""http://www.ethnologue.com/language/abx"" target=""_blank"">Inabaknon</a>",abx,Inabaknon,,lang44,3,e3d000,Robust,fff9b5,1,1,1
circle,-9.796336800781260,148.532502544922000,"<a href=""http://www.ethnologue.com/language/aby"" target=""_blank"">Aneme Wake</a>",aby,Aneme Wake,,lang45,3,e3d000,Robust,fff9b5,1,1,1
circle,-8.310776394531270,124.593763046875000,"<a href=""http://www.ethnologue.com/language/abz"" target=""_blank"">Abui</a>",abz,Abui,,lang46,3,e3d000,Robust,fff9b5,1,1,1
